Year	Year_no	Winner	Mins	Secs	Time.in.Sec	Distance..mi.	Speed	Jockey	Speed.1	Owner
1875	1	Aristides	2	37.75	157.75	1.5	34.231379	Oliver Lewis	Ansel Williamson	Hal Price McGrath
1876	2	Vagrant	2	38.25	158.25	1.5	34.123223	Robert Swim	James Williams	William Astor Jr.
1877	3	Baden-Baden	2	38	158	1.5	34.177215	Billy Walker	Ed Brown	Daniel Swigert
1878	4	Day Star	2	37.25	157.25	1.5	34.340223	Jimmy Carter	Lee Paul	Thomas J. Nichols
1879	5	Lord Murphy	2	37	157	1.5	34.394904	Charlie Shauer	George Rice	George W. Darden &amp; Co.
1880	6	Fonso	2	37.5	157.5	1.5	34.285714	George Lewis	Tice Hutsell	J.S. Shawhan
1881	7	Hindoo	2	40	160	1.5	33.75	Jim McLaughlin	James Rowe Sr.	Dwyer Brothers
1882	8	Apollo	2	40.25	160.25	1.5	33.697348	Babe Hurd	Green B. Morris	Green B. Morris, James D. Patton
1883	9	Leonatus	2	43	163	1.5	33.128834	William Donohue	Raleigh Colston Sr.	Jack P. Chinn, George Morgan
1884	10	Buchanan	2	40.25	160.25	1.5	33.697348	Isaac Murphy	William Bird	William Cottrill, Sam S. Brown
1885	11	Joe Cotton	2	37.25	157.25	1.5	34.340223	Erskine Henderson	Abraham Perry	James T. Williams
1886	12	Ben Ali	2	36.5	156.5	1.5	34.504792	Paul Duffy	Jim Murphy	James B. Haggin
1887	13	Montrose	2	39.25	159.25	1.5	33.908948	Isaac Lewis	John McGinty	Labold Brothers
1888	14	Macbeth II	2	38.25	158.25	1.5	34.123223	George Covington	John Campbell	Chicago Stable
1889	15	Spokane	2	34.5	154.5	1.5	34.951456	Thomas Kiley	John Rodegap	Noah Armstrong
1890	16	Riley	2	45	165	1.5	32.727273	Isaac Murphy	Edward Corrigan	Edward Corrigan
1891	17	Kingman	2	52.25	172.25	1.5	31.349782	Isaac Murphy	Dudley Allen	Jacobin Stable
1892	18	Azra	2	41.5	161.5	1.5	33.436533	Alonzo Clayton	John Morris	Bashford Manor Stable
1893	19	Lookout	2	39.25	159.25	1.5	33.908948	Eddie Kunze	William McDaniel	J.E. Cushin, J. Orth
1894	20	Chant	2	41	161	1.5	33.540373	Frank Goodale	Eugene Leigh	Eugene Leigh, Robert Rose
1895	21	Halma	2	37.5	157.5	1.5	34.285714	James Perkins	Byron McClelland	Byron McClelland
1896	22	Ben Brush	2	7.75	127.75	1.25	35.225049	Willie Simms	Hardy Campbell	Mike F. Dwyer
1897	23	Typhoon II	2	12.5	132.5	1.25	33.962264	Buttons Garner	Julius C. Cahn	Julius C. Cahn
1898	24	Plaudit	2	9	129	1.25	34.883721	Willie Simms	John E. Madden	John E. Madden
1899	25	Manuel	2	12	132	1.25	34.090909	Fred Taral	Robert Walden	A. H. &amp; D. H. Morris
1900	26	Lieut. Gibson	2	6.25	126.25	1.25	35.643564	Jimmy Boland	Charles Hughes	Charles H. Smith
1901	27	His Eminence	2	7.75	127.75	1.25	35.225049	Jimmy Winkfield	Frank B. Van Meter	Frank B. Van Meter
1902	28	Alan-a-Dale	2	8.75	128.75	1.25	34.951456	Jimmy Winkfield	Thomas Clay McDowell	Thomas Clay McDowell
1903	29	Judge Himes	2	9	129	1.25	34.883721	Harold Booker	John P. Mayberry	Charles R. Ellison
1904	30	Elwood	2	8.5	128.5	1.25	35.019455	Shorty Prior	Charles Durnell	Laska Durnell
1905	31	Agile	2	10.75	130.75	1.25	34.416826	Jack Martin	Robert Tucker	Samuel S. Brown
1906	32	Sir Huon	2	8.8	128.8	1.25	34.937888	Roscoe Troxler	Peter Coyne	Bashford Manor Stable
1907	33	Pink Star	2	12.6	132.6	1.25	33.936652	Andy Minder	William H. Fizer	J. Hal Woodford
1908	34	Stone Street	2	15.2	135.2	1.25	33.284024	Arthur Pickens	John Hall	C. E. &amp; J. W. Hamilton
1909	35	Wintergreen	2	8.2	128.2	1.25	35.101404	Vincent Powers	Charles Mack	Jerome B. Respess
1910	36	Donau	2	6.4	126.4	1.25	35.601266	Frederick Herbert	George Ham	William Gerst
1911	37	Meridian	2	5	125	1.25	36	George Archibald	Albert Ewing	Richard F. Carman
1912	38	Worth	2	9.4	129.4	1.25	34.775889	Carroll Shilling	Frank Taylor	Harry Hallenbeck
1913	39	Donerail	2	4.8	124.8	1.25	36.057692	Roscoe Goose	Thomas P. Hayes	Thomas P. Hayes
1914	40	Old Rosebud	2	3.4	123.4	1.25	36.466775	John McCabe	Frank Weir	Hamilton Applegate
1915	41	Regret	2	5.4	125.4	1.25	35.885167	Joe Notter	James Rowe Sr.	Harry Payne Whitney
1916	42	George Smith	2	4	124	1.25	36.290323	Johnny Loftus	Hollie Hughes	John Sanford
1917	43	*Omar Khayyam	2	4.6	124.6	1.25	36.11557	Charles Borel	Charles T. Patterson	C.K.G. Billings, Frederick Johnson
1918	44	Exterminator	2	10.8	130.8	1.25	34.40367	Willie Knapp	Henry McDaniel	Willis Sharpe Kilmer
1919	45	Sir Barton	2	9.8	129.8	1.25	34.668721	Johnny Loftus	H. Guy Bedwell	J. K. L. Ross
1920	46	Paul Jones	2	9	129	1.25	34.883721	Ted Rice	William Garth	Ral Parr
1921	47	Behave Yourself	2	4.2	124.2	1.25	36.231884	Charles Thompson	Herbert J. Thompson	Edward R. Bradley
1922	48	Morvich	2	4.6	124.6	1.25	36.11557	Albert Johnson	Fred Burlew	Ben Block
1923	49	Zev	2	5.4	125.4	1.25	35.885167	Earl Sande	David Leary	Rancocas Stable
