Age Group	Both Sexes	Male All	Female All	Both Sexes White	Male White	Male White Pct	Female White	Both Sexes Black	Male Black	Male Black Pct	Female Black	Native Both Sexes	Native Male	Native Female	Asian Both Sexes	Asian Male	Asian Female	Hispanic Both Sexes	Hispanic Male	Hispanic Female
Under 1 year	22,335	12,468	9,867	9,359	5,281	0.0048	4,078	6,730	3,760	0.0216	2,970	284	151	133	957	528	429	4,808	2,635	2,173
1 to 4	3,880	2,232	1,648	1,858	1,107	0.0010	751	985	535	0.0031	450	72	33	39	148	96	52	805	455	350
5 to 9	2,354	1,299	1,055	1,115	623	0.0006	492	573	319	0.0018	254	38	19	19	100	52	48	521	282	239
10 to 14	3,217	1,970	1,247	1,667	1,005	0.0009	662	723	465	0.0027	258	64	36	28	108	62	46	644	395	249
15 to 19	10,886	7,849	3,037	5,592	3,894	0.0035	1,698	2,560	2,019	0.0116	541	208	148	60	325	222	103	2,175	1,547	628
20 to 24	21,139	15,654	5,485	11,615	8,391	0.0076	3,224	4,804	3,692	0.0212	1,112	354	244	110	635	445	190	3,679	2,840	839
25 to 29	28,276	20,385	7,891	16,736	11,865	0.0108	4,871	6,066	4,454	0.0255	1,612	547	348	199	680	477	203	4,166	3,181	985
30 to 34	31,939	21,764	10,175	20,028	13,495	0.0122	6,533	6,018	4,098	0.0235	1,920	647	431	216	820	536	284	4,326	3,128	1,198
35 to 39	36,901	24,105	12,796	22,872	14,806	0.0134	8,066	7,251	4,663	0.0267	2,588	680	441	239	944	584	360	5,014	3,516	1,498
40 to 44	42,895	26,687	16,208	26,524	16,468	0.0149	10,056	8,475	5,058	0.0290	3,417	729	430	299	1,283	790	493	5,724	3,842	1,882
45 to 49	65,698	40,223	25,475	42,453	25,965	0.0235	16,488	12,288	7,229	0.0414	5,059	948	592	356	2,007	1,181	826	7,738	5,072	2,666
50 to 54	104,444	63,581	40,863	70,312	42,816	0.0388	27,496	18,938	10,952	0.0628	7,986	1,338	775	563	2,678	1,613	1,065	10,671	7,073	3,598
55 to 59	162,098	98,387	63,711	114,084	69,506	0.0630	44,578	28,790	16,723	0.0959	12,067	1,686	1,000	686	3,611	2,133	1,478	13,056	8,392	4,664
60 to 64	209,908	126,948	82,960	150,915	91,792	0.0832	59,123	35,708	20,829	0.1194	14,879	1,857	1,068	789	4,891	2,898	1,993	15,477	9,582	5,895
65 to 69	248,087	145,258	102,829	184,996	108,920	0.0988	76,076	37,568	21,346	0.1224	16,222	1,889	1,087	802	6,260	3,600	2,660	16,280	9,533	6,747
70 to 74	283,523	158,673	124,850	223,431	125,660	0.1139	97,771	33,453	18,050	0.1035	15,403	1,855	997	858	6,633	3,752	2,881	17,088	9,499	7,589
75 to 79     	307,498	163,505	143,993	245,250	131,567	0.1193	113,683	32,828	16,251	0.0932	16,577	1,798	933	865	8,035	4,393	3,642	18,699	9,834	8,865
80 to 84	350,261	173,166	177,095	284,866	142,527	0.1292	142,339	32,248	14,488	0.0831	17,760	1,731	829	902	9,495	4,705	4,790	21,131	10,177	10,954
85 and over        	878,035	334,866	543,169	746,124	287,103	0.2603	459,021	59,645	19,462	0.1116	40,183	2,473	940	1,533	22,988	9,169	13,819	45,236	17,588	27,648
Total	2,813,503	1,439,111	1,374,392	2,179,857	1,102,838	1.0000	1,077,019	335,667	174,403	1.0000	161,264	19,198	10,502	8,696	72,598	37,236	35,362	197,249	108,579	88,670
