Gender	Do.you.believe.in.God	Pick.Random.Number	Height	Hand	Dates	FB.Friends	Weight	Drinks	Varsity	Songs	Diet	Politics.9Cat	Politics.numeric	Politics.3Cat
Female	Not sure	6	71	Predominantly Left Handed	1	314	138	0	Yes	1564	Omnivore	2. Very Liberal	2	Liberal
Male	No	2	66	Predominantly Right Handed	2	1228	130	0	No	97	Vegetarian	2. Very Liberal	2	Liberal
Male	Yes	9	73	Predominantly Right Handed	1	1189	183	0	Yes	1397	Carnivore	7. Moderatly Conservative	7	Conservative
Female	No	6	67	Predominantly Right Handed	1	0	125	0	No	2241	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	7	71	Predominantly Right Handed	0	709	245	0	No	1299	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	Not sure	9	75	Predominantly Right Handed	0	1072	161	0	Yes	1718	Vegetarian	3. Moderately Liberal	3	Liberal
Female	Not sure	7	64	Predominantly Right Handed	1	483	115	0	No	2848	Omnivore	3. Moderately Liberal	3	Liberal
Female	Not sure	2	60	Predominantly Right Handed	2	600	120	4	Yes	500	Carnivore	3. Moderately Liberal	3	Liberal
Male	Yes	8	72	Predominantly Right Handed	1	659	174	2	Yes	455	Omnivore	6. Liberal Republican	6	Moderate
Male	Yes	4	71	Predominantly Right Handed		1647	168	0	No	0	Omnivore	8. Extremely Conservative	8	Conservative
Male	Not sure	4	67	Predominantly Right Handed	1	696	137	0	No	4596	Omnivore	3. Moderately Liberal	3	Liberal
Female	No	9	67	Predominantly Right Handed	0	154	170	0	No	1345	Omnivore	3. Moderately Liberal	3	Liberal
Female	No	3	70	Predominantly Right Handed	1	512	186	0	No	484	Omnivore	2. Very Liberal	2	Liberal
Male	Yes	5	70	Predominantly Right Handed	0	1225	180	0	No	538	Carnivore	6. Liberal Republican	6	Moderate
Male	Not sure	8	68	Predominantly Right Handed	0	757	147	3	Yes	653	Omnivore	3. Moderately Liberal	3	Liberal
Female	Yes	9	69	Predominantly Right Handed	0	1000	130	0	Yes	1200	Carnivore	7. Moderatly Conservative	7	Conservative
Male	Not sure	9	68	Predominantly Right Handed	0	171	130	0	No	887	Omnivore	2. Very Liberal	2	Liberal
Male	No	7	68	Predominantly Right Handed	1	900	162	0	Yes	2800	Omnivore	3. Moderately Liberal	3	Liberal
Female	Not sure	3	64	Predominantly Right Handed	2	599	125	0	No	1588	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	7	71	Predominantly Right Handed	1	200	185	6	No	4000	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	8	74	Predominantly Right Handed	0	797	185	0	Yes	2000	Carnivore	3. Moderately Liberal	3	Liberal
Male	Yes	7	72	Predominantly Right Handed	0	786	184	6	Yes	2500	Carnivore	7. Moderatly Conservative	7	Conservative
Female	Yes	8	68	Predominantly Right Handed	0	337	138	2	Yes	1001	Omnivore	6. Liberal Republican	6	Moderate
Male	Not sure	6	71	Predominantly Right Handed	1	700	160	0	No	238	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	9	71.5	Predominantly Right Handed	1	285	215	0	No	25	Omnivore	3. Moderately Liberal	3	Liberal
Male	Yes	7	68.5	Predominantly Right Handed	0	691	145	0	No	593	Omnivore	5. Independent/Middle of Road	5	Moderate
Female	Not sure	8	64	Predominantly Right Handed	2	0	120	0	Yes	141	Omnivore	6. Liberal Republican	6	Moderate
Female	Not sure	4	65	Predominantly Right Handed	1	860	130	0	No	10000	Omnivore	3. Moderately Liberal	3	Liberal
Male	Not sure	5	67	Predominantly Left Handed	1	708	140	2	No	1508	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	6	69	Predominantly Right Handed	0	557	150	0	Yes	1300	Carnivore	2. Very Liberal	2	Liberal
Male	No	9	75	Predominantly Right Handed	1	1123	188	2	Yes	900	Omnivore	4. Conservative Democrat	4	Moderate
Male	Not sure	3	76	Predominantly Right Handed	0	1150	210	0	No	1543	Vegetarian	10. Other (please specify)	10	
Male	Yes	4	69	Predominantly Right Handed	1	899	177	0	Yes	320	Omnivore	6. Liberal Republican	6	Moderate
Male	Not sure	2	68	Predominantly Right Handed	0	600	170	0	No	100	Omnivore	5. Independent/Middle of Road	5	Moderate
Male	No	4	72	Predominantly Left Handed	0	616	180	0	Yes	0	Omnivore	3. Moderately Liberal	3	Liberal
Male	No	8	70	Predominantly Right Handed	3	800	150	4	Yes	7000	Omnivore	3. Moderately Liberal	3	Liberal
