Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2
2019	Honda	Acura	NSX	All Wheel Drive	21	22	21	3.5	6	Auto(AM-S9)	9	419	406	420
2019	FCA US LLC	ALFA ROMEO	4C	"2-Wheel Drive, Rear"	24	34	28	1.8	4	Auto(AM6)	6	365	259	317
2019	aston martin	Aston Martin Lagonda Ltd	Vantage V8	"2-Wheel Drive, Rear"	18	25	21	4.0	8	Auto(S8)	8	494	364	435
2019	Volkswagen Group of	Audi	TT Roadster quattro	All Wheel Drive	23	31	26	2.0	4	Auto(AM-S7)	7	384	285	340
2019	BMW	BMW	Z4 sDrive30i	"2-Wheel Drive, Rear"	25	32	28	2.0	4	Auto(S8)	8	355	278	321
2019	Volkswagen Group of	Bugatti	Chiron	All Wheel Drive	9	14	11	8.0	16	Auto(AM-S7)	7	1010	632	840
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	12	20	15	6.2	8	Auto(S8)	8	742	456	613
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	15	25	18	6.2	8	Auto(S8)	8	599	357	490
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	14	23	17	6.2	8	Auto(S8)	8	654	384	532
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	13	19	15	6.2	8	Manual(M7)	7	691	472	592
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	15	22	17	6.2	8	Manual(M7)	7	601	403	512
2019	General Motors	Chevrolet	CORVETTE	"2-Wheel Drive, Rear"	16	25	19	6.2	8	Manual(M7)	7	555	355	465
2019	Ferrari	"Ferrari North America, Inc."	488 gtb	"2-Wheel Drive, Rear"	16	22	18	3.9	8	Auto(AM7)	7	568	406	495
