Model Year	Mfr Name	Division	Region	Carline	Verify Mfr Cd	Eng Displ	# Cyl	Transmission	City FE (Guide) - Conventional Fuel	Hwy FE (Guide) - Conventional Fuel	Comb FE (Guide) - Conventional Fuel	City Unadj FE - Conventional Fuel	Hwy Unadj FE - Conventional Fuel	Comb Unadj FE - Conventional Fuel	City Unrd Adj FE - Conventional Fuel	Hwy Unrd Adj FE - Conventional Fuel	Comb Unrd Adj FE - Conventional Fuel	Trans	Trans Desc	# Gears	Lockup Torque Converter	Trans Creeper Gear	Drive Sys	Drive Desc	Fuel Usage  - Conventional Fuel	Annual Fuel1 Cost - Conventional Fuel	EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.	Descriptor - Model Type (40 Char or less)	Intake Valves Per Cyl	Exhaust Valves Per Cyl	Carline Class	Carline Class Desc	Class	Car/Truck Category - Cash for Clunkers Bill.	MFR Calculated Gas Guzzler MPG	City CO2 Rounded Adjusted	Hwy CO2 Rounded Adjusted	Comb CO2 Rounded Adjusted (as shown on FE Label)
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE R AWD Convertible	JLX	5	8	Auto(S8)	16	24	18	19.2287	33.7286	23.8408	15.5008	24.0365	18.4489	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GP	2700	2700	SIDI;	2	2	1	Two Seaters	Two Seaters	car	24	571	369	481
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE R AWD Coupe	JLX	5	8	Auto(S8)	16	24	18	19.2287	33.7286	23.8408	15.5008	24.0365	18.4489	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GP	2700	2700	SIDI;	2	2	1	Two Seaters	Two Seaters	car	24	571	369	481
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE S AWD Convertible	JLX	3	6	Auto(S8)	18	26	21	22.7	36.1	27.2521	18.117	25.6084	20.8635	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GP	2300	2300	SIDI;	2	2	1	Two Seaters	Two Seaters	car	27.4	490	347	426
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE S AWD Coupe	JLX	3	6	Auto(S8)	18	26	21	22.7	36.1	27.2521	18.117	25.6084	20.8635	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GP	2300	2300	SIDI;	2	2	1	Two Seaters	Two Seaters	car	27.4	490	347	426
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE S Convertible	JLX	3	6	Auto(S8)	19	27	22	23.9	37.8	28.6391	19.0003	26.7155	21.8371	SA	Semi-Automatic	8	Y	N	R	"2-Wheel Drive, Rear"	GP	2200	2200	SIDI;	2	2	1	Two Seaters	Two Seaters	car	28.8	468	333	407
2021	Jaguar Land Rover L	Jaguar	Europe	F-TYPE S Coupe	JLX	3	6	Auto(S8)	19	27	22	23.9	37.8	28.6391	19.0003	26.7155	21.8371	SA	Semi-Automatic	8	Y	N	R	"2-Wheel Drive, Rear"	GP	2200	2200	SIDI;	2	2	1	Two Seaters	Two Seaters	car	28.8	468	333	407
2021	BMW	TOYOTA	Asia	Supra 3.0	BMX	3	6	Auto(S8)	22	30	25	28.3	42.2	33.2246	22.1809	29.5278	24.9775	SA	Semi-Automatic	8	Y	N	R	"2-Wheel Drive, Rear"	GP	1950	1950	SIDI;	2	2	1	Two Seaters	Two Seaters	car	33.5	396	297	351
2021	BMW	Mini	Europe	COOPER CONVERTIBLE	BMX	1.5	3	Auto(AM-S7)	28	37	31	36.9343	53.8679	43.0199	28.1684	36.735	31.4709	AMS	Automated Manual- Selectable (e.g. Automated Manual with paddles)	7	N	N	F	"2-Wheel Drive, Front"	GP	1550	1550	SIDI;	2	2	2	Minicompact Cars	Compact Cars	car	43.2	313	240	280
2021	BMW	Mini	Europe	COOPER CONVERTIBLE	BMX	1.5	3	Manual(M6)	26	37	30	34.4703	53.5972	41.0649	26.4928	36.5719	30.2436	M	Manual	6	N	N	F	"2-Wheel Drive, Front"	GP	1600	1600	SIDI;	2	2	2	Minicompact Cars	Compact Cars	car	40.8	333	242	292
2021	BMW	Mini	Europe	COOPER S CONVERTIBLE	BMX	2	4	Auto(AM-S7)	26	34	29	33.2848	49.6967	39.0946	25.6774	34.2009	28.9208	AMS	Automated Manual- Selectable (e.g. Automated Manual with paddles)	7	N	N	F	"2-Wheel Drive, Front"	GP	1700	1700	SIDI;	2	2	2	Minicompact Cars	Compact Cars	car	39.4	346	260	307
