Year	Interest.rate	Mortgages($T)
1985	12.43	2.41533233
1986	10.19	2.655580338
1987	10.21	2.956685614
1988	10.34	3.274088855
1989	10.32	3.526605415
1990	7.93	3.781631016
1991	7.81	3.932662105
1992	7.6	4.043600751
1993	6.94	4.174878239
1994	7.44	4.339068042
1995	7.93	4.525045542
1996	7.81	4.805888566
1997	7.6	5.119392536
1998	6.94	5.604025821
1999	7.44	6.210737413
2000	8.05	6.768854867
2001	6.97	7.45206991
2002	6.54	8.36132089
2003	5.83	9.36575469
2004	5.84	10.65823235
2005	5.87	12.0957661
2006	6.41	13.50688134
2007	6.34	14.60407679
2008	6.03	14.71239152
2009	5.04	14.43713147
2010	4.69	13.83075423
2011	4.45	13.49993334
2012	3.66	13.27117244
2013	3.98	13.27220884
2014	4.17	13.44281214
2015	3.85	13.783964132016
2017	3.99	14.90
2018	4.55	15.42
2019	3.94	16.01
2020	3.34	
