Car	Age	Price	Mileage
Ford Mustang GT	1	36900	16834
Chevy Corvette	12	26500	24446
Mercedes-Benz E-Class E 550	4	32598	39732
Ford Mustang Premium	3	26499	16133
Jaguar F-Type S	3	50995	24883
Jaguar XJ XJS	25	19990	54485
BMW Z3 1.9	23	9999	24773
Mercedes-Benz CLK 55 AMG	16	18995	40237
Pontiac G6 GT	13	5500	115321
Ford Mustang GT Premium	13	9998	127829
Volkswagen New Beetle	12	9989	19703
Chevvy Corvette	12	26500	24446
Volvo C70 T5	9	16900	75571
Mini Cooper S	9	6995	101788
Audi A5 Premium	8	16885	50998
Volvo C70 T5	7	19495	37119
Mini Cooper Roadster	7	14990	31601
Volkswagen Beetle	6	16995	62012
Audi TT	4	31995	24434
Jaguar F-Type S	3	43490	41447
BMW 2 Series 230i 	3	32354	19570
Volkswagen BeetleSE	3	23903	19940
Chebrolet Camaro Z28	18	29995	16501
Chevrolet Corvette LT2	13	26999	23523
Smart Fortwo Passion	11	7995	26255
Chevrolet Cornette LT2	6	48900	6508
